filename,document,page,gap_index,bit,shift,word
000000.png,DOC001,0,0,0,-0.12,CONFIDENTIAL
000001.png,DOC001,0,1,0,-0.12,ENGINEERING
000002.png,DOC001,0,2,1,0.12,EXAM
000003.png,DOC001,0,3,0,-0.12,-
000004.png,DOC001,0,4,1,0.12,PAGE
000005.png,DOC001,0,5,0,-0.12,QUESTION
000006.png,DOC001,0,6,0,-0.12,The
000007.png,DOC001,0,7,0,-0.12,rapid
000008.png,DOC001,0,8,0,-0.12,advancement
000009.png,DOC001,0,9,0,-0.12,of
000010.png,DOC001,0,10,0,-0.12,artificial
000011.png,DOC001,0,11,1,0.12,intelligence
000012.png,DOC001,0,12,0,-0.12,and
000013.png,DOC001,0,13,1,0.12,machine
000014.png,DOC001,0,14,0,-0.12,has
000015.png,DOC001,0,15,0,-0.12,fundamentally
000016.png,DOC001,0,16,0,-0.12,altered
000017.png,DOC001,0,17,0,-0.12,the
000018.png,DOC001,0,18,0,-0.12,landscape
000019.png,DOC001,0,19,0,-0.12,of
000020.png,DOC001,0,20,0,-0.12,modern
000021.png,DOC001,0,21,0,-0.12,computing.
000022.png,DOC001,0,22,0,-0.12,When
000023.png,DOC001,0,23,1,0.12,scalable
000024.png,DOC001,0,24,0,-0.12,distributed
000025.png,DOC001,0,25,1,0.12,"systems,"
000026.png,DOC001,0,26,1,0.12,engineers
000027.png,DOC001,0,27,0,-0.12,must
000028.png,DOC001,0,28,0,-0.12,carefully
000029.png,DOC001,0,29,0,-0.12,consider
000030.png,DOC001,0,30,0,-0.12,the
000031.png,DOC001,0,31,0,-0.12,between
000032.png,DOC001,0,32,0,-0.12,"latency,"
000033.png,DOC001,0,33,0,-0.12,"throughput,"
000034.png,DOC001,0,34,0,-0.12,and
000035.png,DOC001,0,35,0,-0.12,fault
000036.png,DOC001,0,36,0,-0.12,tolerance.
000037.png,DOC001,0,37,1,0.12,In
000038.png,DOC001,0,38,0,-0.12,the
000039.png,DOC001,0,39,1,0.12,context
000040.png,DOC001,0,40,1,0.12,of
000041.png,DOC001,0,41,1,0.12,"steganography,"
000042.png,DOC001,0,42,0,-0.12,the
000043.png,DOC001,0,43,0,-0.12,primary
000044.png,DOC001,0,44,1,0.12,challenge
000045.png,DOC001,0,45,1,0.12,is
000046.png,DOC001,0,46,0,-0.12,overcoming
000047.png,DOC001,0,47,0,-0.12,the
000048.png,DOC001,0,48,0,-0.12,physical
000049.png,DOC001,0,49,0,-0.12,channel
000050.png,DOC001,0,50,1,0.12,introduced
000051.png,DOC001,0,51,1,0.12,by
000052.png,DOC001,0,52,1,0.12,printers
000053.png,DOC001,0,53,0,-0.12,and
000054.png,DOC001,0,54,0,-0.12,smartphone
000055.png,DOC001,0,55,0,-0.12,cameras.
000056.png,DOC001,0,56,1,0.12,This
000057.png,DOC001,0,57,1,0.12,requires
000058.png,DOC001,0,58,0,-0.12,highly
000059.png,DOC001,0,59,1,0.12,error
000060.png,DOC001,0,60,0,-0.12,correction
000061.png,DOC001,0,61,0,-0.12,"mechanisms,"
000062.png,DOC001,0,62,0,-0.12,such
000063.png,DOC001,0,63,1,0.12,as
000064.png,DOC001,0,64,0,-0.12,Reed-Solomon
000065.png,DOC001,0,65,0,-0.12,"coding,"
000066.png,DOC001,0,66,1,0.12,combined
000067.png,DOC001,0,67,0,-0.12,deep
000068.png,DOC001,0,68,0,-0.12,learning-based
000069.png,DOC001,0,69,0,-0.12,document
000070.png,DOC001,0,70,0,-0.12,dewarping
000071.png,DOC001,0,71,0,-0.12,and
000072.png,DOC001,0,72,1,0.12,residual
000073.png,DOC001,0,73,0,-0.12,feature
000074.png,DOC001,0,74,0,-0.12,extraction
000075.png,DOC001,0,75,0,-0.12,reliably
000076.png,DOC001,0,76,0,-0.12,recover
000077.png,DOC001,0,77,0,-0.12,the
000078.png,DOC001,0,78,0,-0.12,embedded
000079.png,DOC001,0,79,1,0.12,cryptographic
000080.png,DOC001,0,80,0,-0.12,QUESTION
000081.png,DOC001,0,81,0,-0.12,The
000082.png,DOC001,0,82,0,-0.12,rapid
000083.png,DOC001,0,83,1,0.12,advancement
000084.png,DOC001,0,84,0,-0.12,of
000085.png,DOC001,0,85,0,-0.12,artificial
000086.png,DOC001,0,86,1,0.12,intelligence
000087.png,DOC001,0,87,0,-0.12,and
000088.png,DOC001,0,88,0,-0.12,machine
000089.png,DOC001,0,89,0,-0.12,has
000090.png,DOC001,0,90,0,-0.12,fundamentally
000091.png,DOC001,0,91,0,-0.12,altered
000092.png,DOC001,0,92,1,0.12,the
000093.png,DOC001,0,93,0,-0.12,landscape
000094.png,DOC001,0,94,0,-0.12,of
000095.png,DOC001,0,95,0,-0.12,modern
000096.png,DOC001,0,96,1,0.12,computing.
000097.png,DOC001,0,97,1,0.12,When
000098.png,DOC001,0,98,0,-0.12,scalable
000099.png,DOC001,0,99,0,-0.12,distributed
000100.png,DOC001,0,100,0,-0.12,"systems,"
000101.png,DOC001,0,101,1,0.12,engineers
000102.png,DOC001,0,102,0,-0.12,must
000103.png,DOC001,0,103,0,-0.12,carefully
000104.png,DOC001,0,104,1,0.12,consider
000105.png,DOC001,0,105,1,0.12,the
000106.png,DOC001,0,106,1,0.12,between
000107.png,DOC001,0,107,0,-0.12,"latency,"
000108.png,DOC001,0,108,0,-0.12,"throughput,"
000109.png,DOC001,0,109,0,-0.12,and
000110.png,DOC001,0,110,0,-0.12,fault
000111.png,DOC001,0,111,1,0.12,tolerance.
000112.png,DOC001,0,112,0,-0.12,In
000113.png,DOC001,0,113,0,-0.12,the
000114.png,DOC001,0,114,0,-0.12,context
000115.png,DOC001,0,115,0,-0.12,of
000116.png,DOC001,0,116,1,0.12,"steganography,"
000117.png,DOC001,0,117,0,-0.12,the
000118.png,DOC001,0,118,0,-0.12,primary
000119.png,DOC001,0,119,1,0.12,challenge
000120.png,DOC001,0,120,0,-0.12,is
000121.png,DOC001,0,121,0,-0.12,overcoming
000122.png,DOC001,0,122,0,-0.12,the
000123.png,DOC001,0,123,0,-0.12,physical
000124.png,DOC001,0,124,0,-0.12,channel
000125.png,DOC001,0,125,0,-0.12,introduced
000126.png,DOC001,0,126,0,-0.12,by
000127.png,DOC001,0,127,1,0.12,printers
000128.png,DOC001,0,128,0,-0.12,and
000129.png,DOC001,0,129,1,0.12,smartphone
000130.png,DOC001,0,130,1,0.12,cameras.
000131.png,DOC001,0,131,0,-0.12,This
000132.png,DOC001,0,132,1,0.12,requires
000133.png,DOC001,0,133,1,0.12,highly
000134.png,DOC001,0,134,0,-0.12,error
000135.png,DOC001,0,135,0,-0.12,correction
000136.png,DOC001,0,136,0,-0.12,"mechanisms,"
000137.png,DOC001,0,137,0,-0.12,such
000138.png,DOC001,0,138,0,-0.12,as
000139.png,DOC001,0,139,1,0.12,Reed-Solomon
000140.png,DOC001,0,140,0,-0.12,"coding,"
000141.png,DOC001,0,141,0,-0.12,combined
000142.png,DOC001,0,142,1,0.12,deep
000143.png,DOC001,0,143,0,-0.12,learning-based
000144.png,DOC001,0,144,1,0.12,document
000145.png,DOC001,0,145,0,-0.12,dewarping
000146.png,DOC001,0,146,0,-0.12,and
000147.png,DOC001,0,147,0,-0.12,residual
000148.png,DOC001,0,148,0,-0.12,feature
000149.png,DOC001,0,149,1,0.12,extraction
000150.png,DOC001,0,150,0,-0.12,reliably
000151.png,DOC001,0,151,0,-0.12,recover
000152.png,DOC001,0,152,1,0.12,the
000153.png,DOC001,0,153,1,0.12,embedded
000154.png,DOC001,0,154,1,0.12,cryptographic
000155.png,DOC001,0,155,0,-0.12,QUESTION
000156.png,DOC001,0,156,1,0.12,The
000157.png,DOC001,0,157,0,-0.12,rapid
000158.png,DOC001,0,158,1,0.12,advancement
000159.png,DOC001,0,159,0,-0.12,of
000160.png,DOC001,0,160,0,-0.12,artificial
000161.png,DOC001,0,161,0,-0.12,intelligence
000162.png,DOC001,0,162,0,-0.12,and
000163.png,DOC001,0,163,0,-0.12,machine
000164.png,DOC001,0,164,0,-0.12,has
000165.png,DOC001,0,165,0,-0.12,fundamentally
000166.png,DOC001,0,166,1,0.12,altered
000167.png,DOC001,0,167,0,-0.12,the
000168.png,DOC001,0,168,0,-0.12,landscape
000169.png,DOC001,0,169,0,-0.12,of
000170.png,DOC001,0,170,0,-0.12,modern
000171.png,DOC001,0,171,1,0.12,computing.
000172.png,DOC001,0,172,0,-0.12,When
000173.png,DOC001,0,173,1,0.12,scalable
000174.png,DOC001,0,174,1,0.12,distributed
000175.png,DOC001,0,175,0,-0.12,"systems,"
000176.png,DOC001,0,176,0,-0.12,engineers
000177.png,DOC001,0,177,0,-0.12,must
000178.png,DOC001,0,178,0,-0.12,carefully
000179.png,DOC001,0,179,1,0.12,consider
000180.png,DOC001,0,180,0,-0.12,the
000181.png,DOC001,0,181,0,-0.12,between
000182.png,DOC001,0,182,1,0.12,"latency,"
000183.png,DOC001,0,183,0,-0.12,"throughput,"
000184.png,DOC001,0,184,0,-0.12,and
000185.png,DOC001,0,185,1,0.12,fault
000186.png,DOC001,0,186,1,0.12,tolerance.
000187.png,DOC001,0,187,1,0.12,In
000188.png,DOC001,0,188,0,-0.12,the
000189.png,DOC001,0,189,0,-0.12,context
000190.png,DOC001,0,190,0,-0.12,of
000191.png,DOC001,0,191,0,-0.12,"steganography,"
000192.png,DOC001,0,192,0,-0.12,the
000193.png,DOC001,0,193,0,-0.12,primary
000194.png,DOC001,0,194,1,0.12,challenge
000195.png,DOC001,0,195,1,0.12,is
000196.png,DOC001,0,196,1,0.12,overcoming
000197.png,DOC001,0,197,1,0.12,the
000198.png,DOC001,0,198,0,-0.12,physical
000199.png,DOC001,0,199,0,-0.12,channel
000200.png,DOC001,0,200,0,-0.12,introduced
000201.png,DOC001,0,201,1,0.12,by
000202.png,DOC001,0,202,0,-0.12,printers
000203.png,DOC001,0,203,1,0.12,and
000204.png,DOC001,0,204,0,-0.12,smartphone
000205.png,DOC001,0,205,0,-0.12,cameras.
000206.png,DOC001,0,206,0,-0.12,This
000207.png,DOC001,0,207,1,0.12,requires
000208.png,DOC001,0,208,0,-0.12,highly
000209.png,DOC001,0,209,1,0.12,error
000210.png,DOC001,0,210,0,-0.12,correction
000211.png,DOC001,0,211,0,-0.12,"mechanisms,"
000212.png,DOC001,0,212,0,-0.12,such
000213.png,DOC001,0,213,1,0.12,as
000214.png,DOC001,0,214,0,-0.12,Reed-Solomon
000215.png,DOC001,0,215,0,-0.12,"coding,"
000216.png,DOC001,0,216,0,-0.12,combined
000217.png,DOC001,0,217,0,-0.12,deep
000218.png,DOC001,0,218,0,-0.12,learning-based
000219.png,DOC001,0,219,0,-0.12,document
000220.png,DOC001,0,220,1,0.12,dewarping
000221.png,DOC001,0,221,0,-0.12,and
000222.png,DOC001,0,222,0,-0.12,residual
000223.png,DOC001,0,223,1,0.12,feature
000224.png,DOC001,0,224,0,-0.12,extraction
000225.png,DOC001,0,225,0,-0.12,reliably
000226.png,DOC001,0,226,1,0.12,recover
000227.png,DOC001,0,227,0,-0.12,the
000228.png,DOC001,0,228,0,-0.12,embedded
000229.png,DOC001,0,229,0,-0.12,cryptographic
000230.png,DOC001,0,230,1,0.12,QUESTION
