filename,paper,page,condition
BCSE202L-CAT-1-C1-2022-2023/page_01_blur.jpg,BCSE202L-CAT-1-C1-2022-2023,01,blur
BCSE202L-CAT-1-C1-2022-2023/page_01_bright_light.jpg,BCSE202L-CAT-1-C1-2022-2023,01,bright_light
BCSE202L-CAT-1-C1-2022-2023/page_01_combined.jpg,BCSE202L-CAT-1-C1-2022-2023,01,combined
BCSE202L-CAT-1-C1-2022-2023/page_01_jpeg_compression.jpg,BCSE202L-CAT-1-C1-2022-2023,01,jpeg_compression
BCSE202L-CAT-1-C1-2022-2023/page_01_low_light.jpg,BCSE202L-CAT-1-C1-2022-2023,01,low_light
BCSE202L-CAT-1-C1-2022-2023/page_01_normal.jpg,BCSE202L-CAT-1-C1-2022-2023,01,normal
BCSE202L-CAT-1-C1-2022-2023/page_01_perspective.jpg,BCSE202L-CAT-1-C1-2022-2023,01,perspective
BCSE202L-CAT-1-C1-2022-2023/page_01_sensor_noise.jpg,BCSE202L-CAT-1-C1-2022-2023,01,sensor_noise
BCSE202L-CAT-1-C1-2022-2023/page_01_shadow.jpg,BCSE202L-CAT-1-C1-2022-2023,01,shadow
BCSE202L-CAT-1-C1-2022-2023/page_01_uneven_lighting.jpg,BCSE202L-CAT-1-C1-2022-2023,01,uneven_lighting
BCSE202L-CAT-1-C1-2022-2023/page_02_blur.jpg,BCSE202L-CAT-1-C1-2022-2023,02,blur
BCSE202L-CAT-1-C1-2022-2023/page_02_bright_light.jpg,BCSE202L-CAT-1-C1-2022-2023,02,bright_light
BCSE202L-CAT-1-C1-2022-2023/page_02_combined.jpg,BCSE202L-CAT-1-C1-2022-2023,02,combined
BCSE202L-CAT-1-C1-2022-2023/page_02_jpeg_compression.jpg,BCSE202L-CAT-1-C1-2022-2023,02,jpeg_compression
BCSE202L-CAT-1-C1-2022-2023/page_02_low_light.jpg,BCSE202L-CAT-1-C1-2022-2023,02,low_light
BCSE202L-CAT-1-C1-2022-2023/page_02_normal.jpg,BCSE202L-CAT-1-C1-2022-2023,02,normal
BCSE202L-CAT-1-C1-2022-2023/page_02_perspective.jpg,BCSE202L-CAT-1-C1-2022-2023,02,perspective
BCSE202L-CAT-1-C1-2022-2023/page_02_sensor_noise.jpg,BCSE202L-CAT-1-C1-2022-2023,02,sensor_noise
BCSE202L-CAT-1-C1-2022-2023/page_02_shadow.jpg,BCSE202L-CAT-1-C1-2022-2023,02,shadow
BCSE202L-CAT-1-C1-2022-2023/page_02_uneven_lighting.jpg,BCSE202L-CAT-1-C1-2022-2023,02,uneven_lighting
BCSE202L-CAT-2-A2-2022-2023/page_01_blur.jpg,BCSE202L-CAT-2-A2-2022-2023,01,blur
BCSE202L-CAT-2-A2-2022-2023/page_01_bright_light.jpg,BCSE202L-CAT-2-A2-2022-2023,01,bright_light
BCSE202L-CAT-2-A2-2022-2023/page_01_combined.jpg,BCSE202L-CAT-2-A2-2022-2023,01,combined
BCSE202L-CAT-2-A2-2022-2023/page_01_jpeg_compression.jpg,BCSE202L-CAT-2-A2-2022-2023,01,jpeg_compression
BCSE202L-CAT-2-A2-2022-2023/page_01_low_light.jpg,BCSE202L-CAT-2-A2-2022-2023,01,low_light
BCSE202L-CAT-2-A2-2022-2023/page_01_normal.jpg,BCSE202L-CAT-2-A2-2022-2023,01,normal
BCSE202L-CAT-2-A2-2022-2023/page_01_perspective.jpg,BCSE202L-CAT-2-A2-2022-2023,01,perspective
BCSE202L-CAT-2-A2-2022-2023/page_01_sensor_noise.jpg,BCSE202L-CAT-2-A2-2022-2023,01,sensor_noise
BCSE202L-CAT-2-A2-2022-2023/page_01_shadow.jpg,BCSE202L-CAT-2-A2-2022-2023,01,shadow
BCSE202L-CAT-2-A2-2022-2023/page_01_uneven_lighting.jpg,BCSE202L-CAT-2-A2-2022-2023,01,uneven_lighting
BCSE202L-CAT-2-A2-2022-2023/page_02_blur.jpg,BCSE202L-CAT-2-A2-2022-2023,02,blur
BCSE202L-CAT-2-A2-2022-2023/page_02_bright_light.jpg,BCSE202L-CAT-2-A2-2022-2023,02,bright_light
BCSE202L-CAT-2-A2-2022-2023/page_02_combined.jpg,BCSE202L-CAT-2-A2-2022-2023,02,combined
BCSE202L-CAT-2-A2-2022-2023/page_02_jpeg_compression.jpg,BCSE202L-CAT-2-A2-2022-2023,02,jpeg_compression
BCSE202L-CAT-2-A2-2022-2023/page_02_low_light.jpg,BCSE202L-CAT-2-A2-2022-2023,02,low_light
BCSE202L-CAT-2-A2-2022-2023/page_02_normal.jpg,BCSE202L-CAT-2-A2-2022-2023,02,normal
BCSE202L-CAT-2-A2-2022-2023/page_02_perspective.jpg,BCSE202L-CAT-2-A2-2022-2023,02,perspective
BCSE202L-CAT-2-A2-2022-2023/page_02_sensor_noise.jpg,BCSE202L-CAT-2-A2-2022-2023,02,sensor_noise
BCSE202L-CAT-2-A2-2022-2023/page_02_shadow.jpg,BCSE202L-CAT-2-A2-2022-2023,02,shadow
BCSE202L-CAT-2-A2-2022-2023/page_02_uneven_lighting.jpg,BCSE202L-CAT-2-A2-2022-2023,02,uneven_lighting
BCSE202L-FAT-A2-2023-2024/page_01_blur.jpg,BCSE202L-FAT-A2-2023-2024,01,blur
BCSE202L-FAT-A2-2023-2024/page_01_bright_light.jpg,BCSE202L-FAT-A2-2023-2024,01,bright_light
BCSE202L-FAT-A2-2023-2024/page_01_combined.jpg,BCSE202L-FAT-A2-2023-2024,01,combined
BCSE202L-FAT-A2-2023-2024/page_01_jpeg_compression.jpg,BCSE202L-FAT-A2-2023-2024,01,jpeg_compression
BCSE202L-FAT-A2-2023-2024/page_01_low_light.jpg,BCSE202L-FAT-A2-2023-2024,01,low_light
